"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL27467";"";"None";"298.39";"0";"2.62";"2g";"Nc1ccc(C23CC(C2)C(=O)N(C2CCCCC2)C3=O)cc1";"IC50";"'='";"13.0";"nM";"7.89";"";"";"UO_0000065";"26.43";"0.49";"5.27";"12.44";"0";"CHEMBL661153";"In vitro inhibition of human placental Cytochrome P450 19A aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125660";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"0.013"
"CHEMBL27698";"";"None";"258.32";"0";"1.70";"2b";"CCCN1C(=O)C2CC(c3ccc(N)cc3)(C2)C1=O";"Inhibition potency";"'='";"17.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL661761";"Inhibition of human placental Cytochrome P450 19A1";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125660";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"17.0"
"CHEMBL489189";"";"None";"356.44";"1";"5.72";"2bh";"Fc1ccccc1CC(Cc1ccc(-c2ccccc2)cc1)n1ccnc1";"IC50";"'='";"1370.0";"nM";"5.86";"";"";"UO_0000065";"16.45";"0.30";"0.14";"32.90";"0";"CHEMBL987995";"Inhibition of human aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144209";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"1.37"
"CHEMBL490194";"";"None";"408.33";"1";"6.20";"1bn";"Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)c(Cl)c1";"IC50";"'='";"3650.0";"nM";"5.44";"";"";"UO_0000065";"13.32";"0.27";"-0.76";"25.82";"0";"CHEMBL987995";"Inhibition of human aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144209";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"3.65"
"CHEMBL491213";"";"None";"357.43";"1";"5.03";"1bk";"Fc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1";"IC50";"'='";"190.0";"nM";"6.72";"";"";"UO_0000065";"18.80";"0.34";"1.69";"31.91";"0";"CHEMBL987995";"Inhibition of human aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144209";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"0.19"
"CHEMBL491013";"";"None";"373.89";"1";"5.54";"1bj";"Clc1ccc(CN(Cc2ccc(-c3ccccc3)cc2)n2ccnc2)cc1";"IC50";"'='";"1180.0";"nM";"5.93";"";"";"UO_0000065";"15.86";"0.30";"0.39";"28.15";"0";"CHEMBL987995";"Inhibition of human aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1144209";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"1.18"
"CHEMBL324290";"";"None";"255.32";"0";"3.46";"32";"COc1cc(/C=C/c2ccc(N)cc2)cc(OC)c1";"Vmax";"'='";"35.2";"pmol/min";"";"";"";"";"";"";"";"";"0";"CHEMBL1175844";"Inhibition of human aromatase assessed per mg of protein at IC50 concentration preincubated with NADP+ for 10 mins before substrate addition measured after 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1177666";"1";"Scientific Literature";"Bioorg Med Chem";"2010";"None";"";"";"";"35.2"
"CHEMBL342868";"";"None";"295.77";"0";"4.02";"15";"OC(c1ccccc1)(c1ccc(Cl)cc1)c1cccnc1";"EC50";"'>'";"2000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL664331";"In vitro Cytochrome P450 19A1 inhibition concentration to decrease aromatization of androstenedione in rat ovarian microsome";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3859";"Aromatase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1124961";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"2.0"
"CHEMBL343273";"";"None";"325.80";"0";"4.03";"17";"COc1cc(Cl)ccc1C(O)(c1ccccc1)c1cccnc1";"EC50";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"17.63";"0.34";"1.71";"13.56";"0";"CHEMBL664331";"In vitro Cytochrome P450 19A1 inhibition concentration to decrease aromatization of androstenedione in rat ovarian microsome";"B";"BAO_0000019";"assay format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL3859";"Aromatase";"Rattus norvegicus";"SINGLE PROTEIN";"CHEMBL1124961";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"1.8"
"CHEMBL364080";"";"None";"207.28";"0";"3.57";"1a";"C(=C1\CCc2ccccc21)\c1cccnc1";"IC50";"'='";"2040.0";"nM";"5.69";"";"";"UO_0000065";"27.45";"0.49";"2.12";"44.15";"0";"CHEMBL830012";"In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142706";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"2040.0"
"CHEMBL190099";"";"None";"319.32";"0";"3.05";"3a";"COc1ccc2c(=O)c(-c3ccccc3)c(-n3cncn3)oc2c1";"IC50";"'='";"18000.0";"nM";"4.75";"";"";"UO_0000065";"14.86";"0.27";"1.69";"6.76";"0";"CHEMBL831140";"Inhibitory concentration against human placental aromatase by deutirium oxide release";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139571";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2005";"None";"";"";"";"18.0"
"CHEMBL70901";"";"None";"286.38";"0";"2.52";"(+)-2";"Nc1ccc(C2(C3CCCCC3)CCC(=O)NC2=O)cc1";"IC50";"'='";"150.0";"nM";"6.82";"";"";"UO_0000065";"23.83";"0.44";"4.30";"9.45";"0";"CHEMBL875011";"Concentration inhibiting Aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126077";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"0.15"
"CHEMBL256665";"";"None";"290.32";"0";"4.25";"Table 3, R5C3";"O=C1CC(c2ccc(O)cc2)Oc2c1ccc1ccccc21";"Activity";"'='";"9.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL932216";"Inhibition of human aromatase in placental microsomes relative to aminogluthetimide";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143207";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"9.0"
"CHEMBL439241";"";"None";"290.32";"0";"4.25";"Table 3, R4C3";"O=C1CC(c2cccc(O)c2)Oc2c1ccc1ccccc21";"Activity";"'='";"9.3";"";"";"";"";"";"";"";"";"";"0";"CHEMBL932216";"Inhibition of human aromatase in placental microsomes relative to aminogluthetimide";"B";"BAO_0000251";"microsome format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1143207";"1";"Scientific Literature";"Bioorg Med Chem";"2008";"None";"";"";"";"9.3"
"CHEMBL202226";"";"None";"316.32";"0";"3.24";"11d";"N#Cc1ccc(C(c2cc3ccc(O)cc3o2)n2cncn2)cc1";"IC50";"'='";"20.0";"nM";"7.70";"";"";"UO_0000065";"24.34";"0.44";"4.46";"8.76";"0";"CHEMBL865872";"Displacement of [1,2,6,7-3H]-androstenedione from human placental CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1149390";"1";"Scientific Literature";"J Med Chem";"2006";"None";"";"";"";"0.02"
"CHEMBL1209626";"";"None";"367.90";"0";"3.99";"17";"CC(C)CC1n2cncc2CN([C@H](C)c2ccc(Cl)cc2)S1(=O)=O";"Inhibition";"'='";"24.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1211865";"Inhibition of human CYP19 at 1 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208751";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"24.0"
"CHEMBL1209627";"";"None";"383.90";"0";"3.10";"18";"C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(CC(C)(C)O)S1(=O)=O";"Inhibition";"'='";"4.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1211865";"Inhibition of human CYP19 at 1 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208751";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"4.0"
"CHEMBL1209695";"";"None";"431.95";"0";"4.07";"23";"C[C@@H](c1ccc(Cl)cc1)N1Cc2cncn2C(C[C@@H](O)c2ccccc2)S1(=O)=O";"Inhibition";"'='";"6.0";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1211865";"Inhibition of human CYP19 at 1 uM";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1208751";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2010";"None";"";"";"";"6.0"
"CHEMBL194515";"";"None";"207.24";"0";"2.69";"21";"c1cncc(-c2cnc3ccccc3n2)c1";"IC50";"";"";"nM";"";"";"Not Determined";"UO_0000065";"";"";"";"";"0";"CHEMBL880435";"Inhibitory concentration against human placental cytochrome P450 19A1 using [1-beta-3H]-androstenedione as substrate; not determined";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141125";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";""
"CHEMBL195996";"";"None";"194.24";"0";"3.03";"23";"c1ccc2cc(-n3ccnc3)ccc2c1";"IC50";"'='";"2821.0";"nM";"5.55";"";"";"UO_0000065";"28.57";"0.51";"2.52";"31.14";"0";"CHEMBL880272";"Inhibitory concentration against human placental cytochrome P450 19A1 using [1-beta-3H]-androstenedione as substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141125";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"2821.0"
"CHEMBL368305";"";"None";"221.30";"0";"3.88";"23a";"Cc1cccc2c1CC/C2=C\c1cccnc1";"IC50";"'='";"4720.0";"nM";"5.33";"";"";"UO_0000065";"24.07";"0.43";"1.45";"41.32";"0";"CHEMBL830012";"In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142706";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"4720.0"
"CHEMBL175962";"";"None";"207.28";"0";"3.57";"2a";"C(=C1\CCc2ccccc21)\c1ccncc1";"IC50";"'='";"6700.0";"nM";"5.17";"";"";"UO_0000065";"24.96";"0.44";"1.60";"40.14";"0";"CHEMBL830012";"In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142706";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"6700.0"
"CHEMBL360026";"";"None";"221.30";"0";"3.96";"4a";"C(=C1\CCCc2ccccc21)\c1ccncc1";"IC50";"'='";"650.0";"nM";"6.19";"";"";"UO_0000065";"27.96";"0.50";"2.23";"48.00";"0";"CHEMBL830012";"In vitro inhibitory concentration against human placental CYP19 incubated with 500 nM of substrate androstenedione in presence of the compound";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1142706";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"650.0"
"CHEMBL592131";"";"None";"389.82";"0";"2.10";"9";"N#Cc1ccc(Cn2cncn2)cc1-c1ccc(OS(N)(=O)=O)c(Cl)c1";"IC50";"'='";"0.5";"nM";"9.30";"";"";"UO_0000065";"23.86";"0.49";"7.20";"7.51";"1";"CHEMBL1681078";"Inhibition of aromatase in human JEG-3 cells using [1beta-3H]androstenedione after 1 hr by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1671847";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"CHEMBL3308202";"";"";"";"0.5"
"CHEMBL1672975";"";"None";"525.39";"1";"3.63";"11";"N#Cc1ccc(N(Cc2ccc(Br)cc2)n2cnnc2)cc1-c1ccc(OS(N)(=O)=O)cc1";"IC50";"'='";"0.05";"nM";"10.30";"";"";"UO_0000065";"19.61";"0.43";"6.67";"8.10";"0";"CHEMBL1681078";"Inhibition of aromatase in human JEG-3 cells using [1beta-3H]androstenedione after 1 hr by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1671847";"1";"Scientific Literature";"ACS Med Chem Lett";"2011";"CHEMBL3308202";"";"";"";"0.05"
"CHEMBL479942";"";"None";"425.45";"0";"0.08";"140";"NS(=O)(=O)Oc1ccc(C(c2ccc(OS(N)(=O)=O)cc2)n2cncn2)cc1";"IC50";"'='";"3044.0";"nM";"5.52";"";"";"UO_0000065";"12.97";"0.27";"5.44";"3.25";"1";"CHEMBL3627341";"Inhibition of aromatase (unknown origin) expressed in JEG-3 cells";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621110";"1";"Scientific Literature";"J Med Chem";"2015";"CHEMBL3308202";"";"";"";"3044.0"
"CHEMBL204039";"";"None";"307.78";"0";"4.66";"8b";"Clc1ccc(C(c2ccc3[nH]ccc3c2)n2ccnc2)cc1";"IC50";"'='";"9.0";"nM";"8.05";"";"";"UO_0000065";"26.14";"0.50";"3.39";"23.94";"0";"CHEMBL859206";"Inhibition of CYP19";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1138150";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2006";"None";"";"";"";"0.009"
"CHEMBL193534";"";"None";"284.16";"0";"4.66";"4";"Brc1ccc2cc(-c3cccnc3)ccc2c1";"IC50";"'>'";"36000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL880272";"Inhibitory concentration against human placental cytochrome P450 19A1 using [1-beta-3H]-androstenedione as substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141125";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"36000.0"
"CHEMBL1630262";"";"None";"386.58";"1";"6.36";"11";"CCCCCC(=O)OC1=C2CC[C@@H]3[C@H](CC[C@]4(C)C(=O)CC[C@@H]34)[C@@]2(C)CCC1";"IC50";"'='";"1800.0";"nM";"5.75";"";"";"UO_0000065";"14.86";"0.28";"-0.62";"13.25";"0";"CHEMBL1639399";"Inhibition of human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629480";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"1.8"
"CHEMBL1630276";"";"None";"286.46";"1";"5.15";"27";"C[C@H]1CCC[C@@]2(C)C1=CC[C@@H]1[C@@H]2CC[C@]2(C)C(=O)CC[C@@H]12";"pIC50";"'='";"-0.255";"uM";"";"Manually validated";"";"UO_0000064";"";"";"";"";"0";"CHEMBL1639399";"Inhibition of human placental aromatase";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1629480";"1";"Scientific Literature";"Eur J Med Chem";"2010";"None";"";"";"";"-0.255"
"CHEMBL3623215";"";"None";"328.46";"0";"3.37";"16";"C[C@]12Cc3cn[nH]c3C(=O)[C@@H]1CC[C@@H]1[C@@H]2CC[C@]2(C)[C@@H](O)CC[C@@H]12";"IC50";"'='";"510.0";"nM";"6.29";"";"";"UO_0000065";"19.16";"0.36";"2.92";"9.54";"1";"CHEMBL3624595";"Inhibition of aromatase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621095";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"0.51"
"CHEMBL275638";"FLAVONE";"2.0";"222.24";"0";"3.46";"51";"O=c1cc(-c2ccccc2)oc2ccccc12";"IC50";"'='";"8000.0";"nM";"";"Potential transcription error";"";"UO_0000065";"";"";"";"";"1";"CHEMBL3624595";"Inhibition of aromatase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621095";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"8.0"
"CHEMBL274318";"FLAVANONE";"None";"224.26";"0";"3.39";"52";"O=C1CC(c2ccccc2)Oc2ccccc21";"IC50";"'='";"8000.0";"nM";"5.10";"";"";"UO_0000065";"22.73";"0.41";"1.71";"19.38";"1";"CHEMBL3624595";"Inhibition of aromatase (unknown origin)";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3621095";"1";"Scientific Literature";"Eur J Med Chem";"2015";"None";"";"";"";"8.0"
"CHEMBL1630267";"";"None";"304.43";"0";"2.85";"37";"C[C@]12CC[C@H]3[C@@H](C[C@@H](O)C4=CCCC[C@@]43CO)[C@@H]1CCC2=O";"IC50";"'='";"940.0";"nM";"6.03";"";"";"UO_0000065";"19.80";"0.37";"3.18";"10.48";"0";"CHEMBL666789";"Inhibition of aromatase activity in human placental microsomes determined by radiometric assay";"B";"BAO_0000251";"microsome format";"None";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1134295";"1";"Scientific Literature";"J Med Chem";"2001";"None";"";"";"";"0.94"
"CHEMBL488";"AMINOGLUTETHIMIDE";"4.0";"232.28";"0";"1.35";"AG";"CCC1(c2ccc(N)cc2)CCC(=O)NC1=O";"Inhibition potency";"'='";"1.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL765528";"Inhibition of human placental aromatase cytochrome P450 19A1 enzyme";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1125660";"1";"Scientific Literature";"J Med Chem";"1991";"None";"";"";"";"1.0"
"CHEMBL3415159";"";"None";"308.36";"0";"3.69";"11";"CC(C)c1nnc2n1-c1c(F)cc(-c3cccnc3)cc1CC2";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3418344";"Inhibition of CYP19 in human placental microsomes using [1beta-3H]androstenedione substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414516";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"10.0"
"CHEMBL3415160";"";"None";"342.38";"0";"4.23";"12";"Fc1cc2c(cc1-c1cccnc1)CCc1nnc(-c3ccccc3)n1-2";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3418344";"Inhibition of CYP19 in human placental microsomes using [1beta-3H]androstenedione substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414516";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"10.0"
"CHEMBL3415174";"";"None";"284.27";"0";"2.71";"28";"Fc1cncc(-c2cc(F)c3c(c2)CCc2nncn2-3)c1";"IC50";"'>'";"10000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"0";"CHEMBL3418344";"Inhibition of CYP19 in human placental microsomes using [1beta-3H]androstenedione substrate";"B";"BAO_0000019";"assay format";"Homo sapiens";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3414516";"1";"Scientific Literature";"J Med Chem";"2015";"None";"";"";"";"10.0"
"CHEMBL607855";"";"None";"276.30";"0";"2.57";"47";"N#Cc1cc(Cn2cncn2)ccc1-c1ccc(O)cc1";"IC50";"'='";"920.0";"nM";"6.04";"";"";"UO_0000065";"21.85";"0.39";"3.47";"8.08";"0";"CHEMBL1067556";"Inhibition of aromatase in human JEG3 cells by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157574";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3308202";"";"";"";"920.0"
"CHEMBL589738";"";"None";"260.30";"0";"2.87";"51";"N#Cc1ccc(Cn2cncn2)c(-c2ccccc2)c1";"IC50";"'='";"1.7";"nM";"8.77";"";"";"UO_0000065";"33.69";"0.60";"5.90";"16.09";"0";"CHEMBL1067556";"Inhibition of aromatase in human JEG3 cells by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157574";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3308202";"";"";"";"1.7"
"CHEMBL598223";"";"None";"310.74";"0";"3.22";"52";"N#Cc1ccc(Cn2cncn2)c(-c2ccc(O)c(Cl)c2)c1";"IC50";"'='";"0.8";"nM";"9.10";"";"";"UO_0000065";"29.27";"0.56";"5.88";"12.17";"0";"CHEMBL1067556";"Inhibition of aromatase in human JEG3 cells by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157574";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3308202";"";"";"";"0.8"
"CHEMBL596791";"";"None";"260.30";"0";"2.87";"27";"N#Cc1ccc(-c2ccccc2)cc1Cn1cncn1";"Inhibition";"'='";"23.9";"%";"";"";"";"UO_0000187";"";"";"";"";"0";"CHEMBL1067561";"Inhibition of aromatase in human JEG3 cells at 0.1 uM by scintillation spectrometry";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1157574";"1";"Scientific Literature";"J Med Chem";"2010";"CHEMBL3308202";"";"";"";"23.9"
"CHEMBL8646";"";"None";"340.51";"1";"5.28";"3d";"CCCC[C@H]1CC2C(CCC3(C)C(=O)CCC23)C2(C)C=CC(=O)C=C12";"Ki";"'='";"16.0";"nM";"7.80";"";"";"UO_0000065";"22.89";"0.43";"2.52";"22.84";"0";"CHEMBL666404";"Apparent inhibition constant (Ki) Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1129505";"1";"Scientific Literature";"J Med Chem";"1996";"None";"";"";"";"16.0"
