"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Assay Parameters";"Assay Variant Accession";"Assay Variant Mutation";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID";"Properties";"Action Type";"Standard Text Value";"Value"
"CHEMBL223607";"";"None";"227.22";"0";"1.43";"T14";"O=c1ccoc2cc(Cn3cncn3)ccc12";"IC50";"'='";"3715.35";"nM";"5.43";"";"";"UO_0000065";"23.90";"0.44";"4.00";"8.91";"0";"CHEMBL915480";"Inhibition of human placental microsome CYP19";"B";"BAO_0000019";"assay format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139479";"1";"Scientific Literature";"J Med Chem";"2005";"None";"";"";"";"5.43"
"CHEMBL25695";"";"None";"328.50";"1";"5.11";"6c";"CCC[C@H]1CC2C3CCC(=O)C3(C)CCC2C2(C)CCC(=O)C=C12";"IC50";"'='";"390.0";"nM";"6.41";"";"";"UO_0000065";"19.51";"0.36";"1.30";"18.77";"0";"CHEMBL666793";"Inhibitory concentration was tested on Cytochrome P450 19A1 in human placental microsomes 20 (microg) of protein incubated for 20 min";"B";"BAO_0000251";"microsome format";"None";"CHEMBL3987910";"Placenta";"None";"Microsomes";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1127822";"1";"Scientific Literature";"J Med Chem";"1994";"None";"";"";"";"0.39"
"CHEMBL2443359";"";"None";"297.33";"0";"2.93";"25a";"O[C@@H](c1ccc(F)cc1)[C@H](Cn1ccnn1)c1ccccc1";"Ki";"'='";"200.0";"nM";"6.70";"";"";"UO_0000065";"22.53";"0.42";"3.77";"13.15";"0";"CHEMBL2447322";"Inhibition of recombinant human aromatase using O-dibenzylfluorescein benzyl ester as substrate by fluorometric assay";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2440092";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2013";"None";"";"";"";"0.2"
"CHEMBL493174";"";"None";"219.24";"0";"1.85";"1k";"COc1ccc(OC)c2c(C)cc(=O)[nH]c12";"IC50";"'='";"26800.0";"nM";"4.57";"";"";"UO_0000065";"20.85";"0.39";"2.72";"8.91";"0";"CHEMBL960910";"Inhibition of aromatase after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153344";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"26.8"
"CHEMBL492762";"CASIMIROIN";"None";"233.22";"0";"1.28";"1";"COc1cc(=O)n(C)c2c3c(ccc12)OCO3";"IC50";"'='";"3920.0";"nM";"5.41";"";"";"UO_0000065";"23.18";"0.43";"4.13";"10.88";"0";"CHEMBL960910";"Inhibition of aromatase after 30 mins by fluorescence assay";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1153344";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"3.92"
"CHEMBL226945";"";"None";"400.42";"0";"1.21";"17";"COc1ccc(CN(c2ccc(C#N)cc2)n2cnnc2)cc1OS(N)(=O)=O";"IC50";"'='";"12.0";"nM";"7.92";"";"";"UO_0000065";"19.78";"0.39";"6.71";"5.81";"0";"CHEMBL890184";"Inhibition of aromatase in JEG3 cell membrane";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145445";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3308202";"";"";"";"12.0"
"CHEMBL226893";"";"None";"449.29";"0";"1.96";"16";"N#Cc1ccc(N(Cc2ccc(Br)c(OS(N)(=O)=O)c2)n2cnnc2)cc1";"IC50";"'='";"3.9";"nM";"8.41";"";"";"UO_0000065";"18.72";"0.43";"6.45";"6.61";"0";"CHEMBL890184";"Inhibition of aromatase in JEG3 cell membrane";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145445";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3308202";"";"";"";"3.9"
"CHEMBL226892";"";"None";"388.38";"0";"1.34";"14";"N#Cc1ccc(N(Cc2ccc(F)c(OS(N)(=O)=O)c2)n2cnnc2)cc1";"IC50";"'='";"0.77";"nM";"9.11";"";"";"UO_0000065";"23.47";"0.46";"7.77";"7.17";"0";"CHEMBL890184";"Inhibition of aromatase in JEG3 cell membrane";"B";"BAO_0000219";"cell-based format";"None";"None";"None";"JEG-3";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145445";"1";"Scientific Literature";"J Med Chem";"2007";"CHEMBL3308202";"";"";"";"0.77"
"CHEMBL305483";"";"None";"272.35";"0";"2.13";"1";"Nc1ccc(C2(C3CCCC3)CCC(=O)NC2=O)cc1";"IC50";"'='";"1200.0";"nM";"5.92";"";"";"UO_0000065";"21.74";"0.40";"3.79";"8.20";"0";"CHEMBL875011";"Concentration inhibiting Aromatase";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126077";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"1.2"
"CHEMBL305483";"";"None";"272.35";"0";"2.13";"1";"Nc1ccc(C2(C3CCCC3)CCC(=O)NC2=O)cc1";"Relative potency";"'='";"31.0";"";"";"";"";"";"";"";"";"";"0";"CHEMBL649359";"Inhibition of cytochrome P450 Aromatase (IC50) relative to aminoglutethimide";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1126077";"1";"Scientific Literature";"J Med Chem";"1992";"None";"";"";"";"31.0"
"CHEMBL9298";"FADROZOLE";"2.0";"223.28";"0";"2.68";"25";"N#Cc1ccc(C2CCCc3cncn32)cc1";"Ki";"'='";"1.5";"nM";"8.82";"";"";"UO_0000065";"39.52";"0.71";"6.14";"21.21";"0";"CHEMBL661762";"Binding affinity was measured on Cytochrome P450 19A1";"B";"BAO_0000357";"single protein format";"None";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1124997";"1";"Scientific Literature";"J Med Chem";"1990";"None";"";"";"";"1.5"
"CHEMBL4071689";"";"None";"375.27";"0";"4.21";"15";"C[C@](O)(c1cncc(-n2nc(C(F)(F)F)c3ccccc32)c1)C(F)(F)F";"IC50";"'='";"5400.0";"nM";"5.27";"";"";"UO_0000065";"14.04";"0.28";"1.06";"10.34";"0";"CHEMBL4029977";"Inhibition of CYP19 (unknown origin) using MFC as substrate and NADPH as cofactor preincubated for 10 mins with cofactor followed by substrate/enzyme addition measured after 30 mins";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL4028827";"1";"Scientific Literature";"Bioorg Med Chem Lett";"2017";"None";"";"";"";"5400.0"
"CHEMBL2058266";"";"None";"288.43";"0";"4.12";"13a";"C[C@]12CC[C@H]3[C@@H](CC[C@@]45O[C@@H]4CCC[C@]35C)[C@@H]1CCC2=O";"Ki";"'='";"86.0";"nM";"7.07";"";"";"UO_0000065";"24.50";"0.46";"2.95";"23.87";"0";"CHEMBL2061396";"Inhibition of aromatase in human microsomes using [1beta-3H]androstenedione as substrate after 5 mins by Dixon plot analysis";"B";"BAO_0000251";"microsome format";"Homo sapiens";"None";"None";"None";"Microsome";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2057175";"1";"Scientific Literature";"J Med Chem";"2012";"None";"";"";"";"0.086"
"CHEMBL522917";"";"None";"381.23";"0";"4.39";"Table S2, R5C1";"O=c1c([C@@H](c2ccc(Br)cc2)n2ccnc2)coc2ccccc12";"IC50";"'='";"49.0";"nM";"7.31";"";"";"UO_0000065";"19.17";"0.42";"2.92";"15.22";"1";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"0.049"
"CHEMBL158984";"";"None";"226.24";"0";"2.04";"Table S2, R13C1";"O=c1ccoc2cc(Cn3ccnc3)ccc12";"IC50";"'='";"100.0";"nM";"7.00";"";"";"UO_0000065";"30.94";"0.56";"4.96";"14.57";"1";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"0.1"
"CHEMBL225178";"";"None";"256.26";"0";"2.07";"Table S2, R39C1";"O=c1cc(OCCn2ccnc2)c2ccccc2o1";"IC50";"'='";"760.0";"nM";"6.12";"";"";"UO_0000065";"23.88";"0.44";"4.05";"10.69";"1";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"0.76"
"CHEMBL192306";"";"None";"318.33";"0";"3.65";"Table S2, R40C1";"COc1ccc2c(=O)c(-c3ccccc3)c(-n3ccnc3)oc2c1";"IC50";"'='";"770.0";"nM";"6.11";"";"";"UO_0000065";"19.20";"0.35";"2.46";"10.68";"1";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"0.77"
"CHEMBL387892";"";"None";"256.26";"0";"2.05";"Table S2, R53C1";"COc1ccc2cc(Cn3ccnc3)c(=O)oc2c1";"IC50";"'='";"2820.0";"nM";"5.55";"";"";"UO_0000065";"21.66";"0.40";"3.50";"9.69";"1";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"2.82"
"CHEMBL460382";"";"None";"228.32";"0";"3.34";"Table S2, R58C1";"c1cc(CCn2ccnc2)c2ccsc2c1";"IC50";"'='";"3560.0";"nM";"5.45";"";"";"UO_0000065";"23.86";"0.47";"2.11";"30.58";"1";"CHEMBL1011777";"Inhibition of human aromatase-mediated conversion of [1beta3H]androstenedione to estrone by liquid scintillation counting in presence of NADPH";"B";"BAO_0000357";"single protein format";"Homo sapiens";"None";"None";"None";"None";"";"";"";"CHEMBL1978";"Aromatase";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1139349";"1";"Scientific Literature";"J Med Chem";"2009";"None";"";"";"";"3.56"
